loss,mse,loss_val,mse_val
340243.1875,340243.1875,357350.03125,357350.03125
329347.84375,329347.84375,338989.84375,338989.84375
320485.875,320485.875,329379.890625,329379.890625
343587.546875,343587.546875,338849.671875,338849.671875
333455.9375,333455.9375,342459.1875,342459.1875
333455.9375,332968.34375,342459.09375,342459.09375
344760.546875,344760.546875,339447.9375,339447.9375
344760.53125,346088.0625,339447.921875,339447.921875
337845.984375,337845.984375,337097.578125,337097.578125
337845.875,339574.125,337097.59375,337097.59375
338528.828125,338528.828125,338414.546875,338414.546875
341876.078125,341876.078125,333837.90625,333837.90625
341876.0625,341685.15625,333837.890625,333837.890625
336831.640625,336831.640625,346260.8125,346260.8125
336831.578125,342425.40625,346260.953125,346260.953125
335824.375,335824.375,320464.25,320464.25
335824.25,334369.03125,320464.3125,320464.3125
335053.421875,335053.421875,333814.859375,333814.859375
335053.375,335444.390625,333814.84375,333814.84375
327280.71875,327280.71875,332435.84375,332435.84375
329396.84375,329396.84375,319359.96875,319359.96875
341500.734375,341500.734375,326759.109375,326759.109375
349364.71875,349364.71875,339279.390625,339279.390625
339479.0625,339479.0625,342010.625,342010.625
332707.140625,332707.140625,335498.4375,335498.4375
339445.125,339445.125,337621.515625,337621.515625
322199.234375,322199.234375,338908.671875,338908.671875
328629.609375,328629.609375,332093.40625,332093.40625
0.008119449950754642,0.008119449950754642,0.008119608275592327,0.008119608275592327
